,Names,R2 1st Wave,RMSE 1st Wave,MAE 1st Wave,R2 2nd Wave,RMSE 2nd Wave,MAE 2nd Wave,R2 3rd+4th Wave,RMSE 3rd+4th Wave,MAE 3rd+4th Wave,R2 All Data,RMSE All Data,MAE All Data
47,"ARMA(4,0,2)",0.9083523206985641,43412.20095245651,8336.90809306319,0.861000115776384,237693.75078440612,46392.12553915834,0.9101894432851219,57516.01858344498,8288.522482103032,0.8931861492297297,681712.0836364258,23815.522388965248
48,"ARMA(4,0,3)",0.9138038502492547,42101.25113058737,7289.253348778957,0.8918522767325409,209661.7638402635,43955.185707540404,0.911881726225117,56971.560000587466,7600.680695741749,0.8932000110258244,681667.847517063,23731.472392492167
49,"ARMA(4,0,4)",0.915272769674321,41740.973483309346,7527.8131655741145,0.8969185188761599,204692.00008820923,44605.716829920806,0.9095704567472029,57713.88234338718,8678.614828195896,0.8940518743882903,678943.8283518999,23724.794564854667
50,"ARIMA(4,1,1)",0.9590405944299737,29022.03698067085,6980.149102576853,0.8923769135818953,209152.59910914008,42467.357491927614,0.9900282424450546,19165.09500862361,5257.323930849079,0.8829991394004714,713479.8857955186,21852.576927944578
51,"ARIMA(4,1,2)",0.964617821015753,26973.8759615222,5998.15799918853,0.9007404552860886,200861.4918484587,42731.280461273054,0.9895606187381387,19609.318503917028,5553.117013960487,0.8926014195101241,683575.4808659478,22798.853135112728
52,"ARIMA(4,1,3)",0.9640805463631229,27177.90208036455,6115.51093902805,0.9009887588339142,200610.1011568386,43265.18147491524,0.9937835328748592,15132.021224107371,3819.4434505925783,0.8933768013220622,681103.4178042467,22867.243949220672
53,"ARIMA(4,1,4)",0.9062300761328814,43911.9628382498,9828.463055274502,0.9205534877673763,179699.95262052282,42299.10308543869,0.989409799395387,19750.45997529814,5738.02992501227,0.8934885041032044,680746.5485495961,22844.28906989757
54,"ARIMA(4,2,1)",0.9576361058694938,29515.422583560772,7072.706378171951,0.8859051129996072,215349.38500841908,49659.334852854736,0.9861219776460958,22609.393498288733,6026.257731457395,0.8816378542371869,717618.491327855,22008.036531631646
55,"ARIMA(4,2,2)",0.9595196412402714,28851.822051758245,6524.063290182914,0.8886278527737604,212764.34021251168,48546.60489372894,0.9866345165367574,22187.9642556254,5954.757807951674,0.8821484521585012,716068.9649669154,22688.116231734602
56,"ARIMA(4,2,3)",0.950733778109733,31829.198143934438,7355.571963078636,0.8973551656039234,204258.00873463665,47285.345261471986,0.9918001692481996,17379.11133134766,4506.788950544118,0.8818065560511138,717106.8974005339,21945.083428378643
57,"ARIMA(4,2,4)",0.9372602940771437,35918.84043251622,7613.2384054523345,0.8233823535942955,267933.8540147754,61332.13602813789,0.9864687129367811,22325.16487539892,5882.200674782074,0.8867711232141517,701884.748570316,24973.00934473849
